ACI Limited,https://medex.com.bd/companies/2/aci-limited
ACME Laboratories Ltd.,https://medex.com.bd/companies/3/acme-laboratories-ltd
Ad-din Pharmaceuticals Ltd.,https://medex.com.bd/companies/103/ad-din-pharmaceuticals-ltd
Aexim Pharmaceuticals Ltd.,https://medex.com.bd/companies/114/aexim-pharmaceuticals-ltd
Al-Madina Pharmaceuticals Ltd.,https://medex.com.bd/companies/292/al-madina-pharmaceuticals-ltd
Alco Pharma Ltd.,https://medex.com.bd/companies/4/alco-pharma-ltd
Alien Pharma,https://medex.com.bd/companies/304/alien-pharma
Alkad Laboratories,https://medex.com.bd/companies/245/alkad-laboratories
Allied Pharmaceuticals Ltd.,https://medex.com.bd/companies/115/allied-pharmaceuticals-ltd
Ambee Pharmaceuticals Ltd.,https://medex.com.bd/companies/5/ambee-pharmaceuticals-ltd
Amico Laboratories Ltd.,https://medex.com.bd/companies/6/amico-laboratories-ltd
Amulet Pharmaceuticals Ltd.,https://medex.com.bd/companies/7/amulet-pharmaceuticals-ltd
APC Pharma Ltd.,https://medex.com.bd/companies/128/apc-pharma-ltd
Apex Pharmaceuticals Ltd.,https://medex.com.bd/companies/8/apex-pharmaceuticals-ltd
Apollo Pharmaceutical Ltd.,https://medex.com.bd/companies/9/apollo-pharmaceutical-ltd
Arges Life Science Limited,https://medex.com.bd/companies/289/arges-life-science-limited
Aristopharma Ltd.,https://medex.com.bd/companies/10/aristopharma-ltd
Asiatic Laboratories Ltd.,https://medex.com.bd/companies/81/asiatic-laboratories-ltd
Astra Biopharmaceuticals Ltd.,https://medex.com.bd/companies/11/astra-biopharmaceuticals-ltd
Aztec Pharmaceuticals Ltd.,https://medex.com.bd/companies/246/aztec-pharmaceuticals-ltd
Bangladesh Immunity Co,https://medex.com.bd/companies/236/bangladesh-immunity-co
Beacon Pharmaceuticals Ltd.,https://medex.com.bd/companies/13/beacon-pharmaceuticals-ltd
Belsen Pharmaceuticals Ltd.,https://medex.com.bd/companies/110/belsen-pharmaceuticals-ltd
Bengal drugs Ltd.,https://medex.com.bd/companies/169/bengal-drugs-ltd
Benham Pharmaceuticals Ltd.,https://medex.com.bd/companies/107/benham-pharmaceuticals-ltd
Beximco Pharmaceuticals Ltd.,https://medex.com.bd/companies/14/beximco-pharmaceuticals-ltd
Biogene Pharma Ltd.,https://medex.com.bd/companies/102/biogene-pharma-ltd
Biopharma Laboratories Ltd.,https://medex.com.bd/companies/15/biopharma-laboratories-ltd
BioRx,https://medex.com.bd/companies/258/biorx
BOTS Pvt. Limited,https://medex.com.bd/companies/191/bots-pvt-limited
Bristol Pharmaceuticals Ltd.,https://medex.com.bd/companies/16/bristol-pharmaceuticals-ltd
Centeon Pharma Ltd.,https://medex.com.bd/companies/273/centeon-pharma-ltd
Central Pharmaceuticals Ltd.,https://medex.com.bd/companies/171/central-pharmaceuticals-ltd
Chemist Laboratories  Ltd.,https://medex.com.bd/companies/18/chemist-laboratories-ltd
City Overseas Ltd.,https://medex.com.bd/companies/174/city-overseas-ltd
Concord Pharmaceuticals Ltd.,https://medex.com.bd/companies/19/concord-pharmaceuticals-ltd
Cosmic Pharma Ltd.,https://medex.com.bd/companies/153/cosmic-pharma-ltd
Cosmo Pharma Ltd.,https://medex.com.bd/companies/117/cosmo-pharma-ltd
Credence Pharmaceuticals Ltd.,https://medex.com.bd/companies/276/credence-pharmaceuticals-ltd
Crystal Pharmaceuticals Ltd.,https://medex.com.bd/companies/146/crystal-pharmaceuticals-ltd
D16 Pharma & Biotec,https://medex.com.bd/companies/278/d16-pharma-biotec
Decent Pharma Laboratories Ltd.,https://medex.com.bd/companies/101/decent-pharma-laboratories-ltd
Delta Pharma Ltd.,https://medex.com.bd/companies/83/delta-pharma-ltd
Desh Pharmaceuticals Ltd.,https://medex.com.bd/companies/22/desh-pharmaceuticals-ltd
Doctor TIMS Pharmaceuticals Ltd.,https://medex.com.bd/companies/24/doctor-tims-pharmaceuticals-ltd
Doctor’s Chemical Works Ltd.,https://medex.com.bd/companies/23/doctors-chemical-works-ltd
Drug International Ltd.,https://medex.com.bd/companies/25/drug-international-ltd
Eastern Pharmaceuticals Ltd.,https://medex.com.bd/companies/197/eastern-pharmaceuticals-ltd
Edruc Ltd.,https://medex.com.bd/companies/119/edruc-ltd
Elixir Pharmaceuticals Ltd.,https://medex.com.bd/companies/26/elixir-pharmaceuticals-ltd
Empiric Laboratories Ltd.,https://medex.com.bd/companies/305/empiric-laboratories-ltd
Eskayef Pharmaceuticals Ltd.,https://medex.com.bd/companies/27/eskayef-pharmaceuticals-ltd
Ethical Drug Ltd.,https://medex.com.bd/companies/157/ethical-drug-ltd
Euro Pharma Ltd.,https://medex.com.bd/companies/121/euro-pharma-ltd
Everest Pharmaceuticals Ltd.,https://medex.com.bd/companies/127/everest-pharmaceuticals-ltd
Fabrique en France,https://medex.com.bd/companies/296/fabrique-en-france
FnF Pharmaceuticals Ltd.,https://medex.com.bd/companies/266/fnf-pharmaceuticals-ltd
Gaco Pharmaceuticals Ltd.,https://medex.com.bd/companies/137/gaco-pharmaceuticals-ltd
General Pharmaceuticals Ltd.,https://medex.com.bd/companies/29/general-pharmaceuticals-ltd
Genvio Pharma Ltd.,https://medex.com.bd/companies/30/genvio-pharma-ltd
Get Well Ltd.,https://medex.com.bd/companies/267/get-well-ltd
GlaxoSmithKline,https://medex.com.bd/companies/52/glaxosmithkline
Globe Pharmaceuticals Ltd.,https://medex.com.bd/companies/31/globe-pharmaceuticals-ltd
Globex Pharmaceuticals Ltd.,https://medex.com.bd/companies/120/globex-pharmaceuticals-ltd
Gonoshasthaya Pharma Ltd.,https://medex.com.bd/companies/32/gonoshasthaya-pharma-ltd
Goodman Pharmaceuticals Ltd.,https://medex.com.bd/companies/268/goodman-pharmaceuticals-ltd
Greenland Pharmaceuticals Ltd.,https://medex.com.bd/companies/212/greenland-pharmaceuticals-ltd
Guardian Healthcare Ltd.,https://medex.com.bd/companies/261/guardian-healthcare-ltd
Hallmark Pharmaceuticals Ltd.,https://medex.com.bd/companies/100/hallmark-pharmaceuticals-ltd
